datetime,PM10,PM2.5,temperature,rain,pressure,precipitation,wind_speed,clouds,wind_direction
2024-05-02 20:00:00,5.0,2.0,12.0,0.0,1009.0,90.0,6.0,0.0,0.0
2024-05-02 21:00:00,5.0,2.0,12.0,0.1,1009.0,92.0,3.0,0.0,0.0
2024-05-02 22:00:00,7.0,4.0,11.0,1.4,1009.0,92.0,5.0,0.0,0.0
2024-05-02 23:00:00,6.0,3.0,11.0,0.2,1009.0,100.0,1.0,0.0,0.0
2024-05-03 00:00:00,6.0,2.0,11.0,0.0,1009.0,95.0,3.0,0.0,0.0
2024-05-03 01:00:00,6.0,3.0,12.0,0.0,1009.0,83.0,6.0,0.0,0.0
2024-05-03 02:00:00,14.606256957785295,11.403066753177121,10.0,0.0,1008.0,88.0,2.0,0.0,0.0
2024-05-03 03:00:00,6.0,2.0,10.0,0.0,1008.0,95.0,2.0,0.0,0.0
2024-05-03 04:00:00,5.0,2.0,10.0,0.0,1008.0,96.0,2.0,0.0,0.0
2024-05-03 05:00:00,5.0,2.0,10.0,0.0,1008.0,94.0,3.0,0.0,0.0
2024-05-03 06:00:00,6.0,2.0,11.0,0.0,1009.0,87.0,3.0,0.0,0.0
2024-05-03 07:00:00,6.0,2.0,12.0,0.0,1010.0,87.0,3.0,0.0,0.0
2024-05-03 08:00:00,6.0,3.0,13.0,0.2,1010.0,84.0,3.0,0.0,0.0
2024-05-03 09:00:00,6.0,3.0,14.0,0.4,1010.0,82.0,8.0,0.0,0.0
2024-05-03 10:00:00,5.0,3.0,13.0,0.7,1011.0,92.0,8.0,0.0,0.0
2024-05-03 11:00:00,5.0,3.0,13.0,1.2,1011.0,90.0,9.0,0.0,0.0
2024-05-03 12:00:00,5.0,3.0,13.0,1.0,1011.0,90.0,9.0,0.0,0.0
2024-05-03 13:00:00,5.0,3.0,12.0,0.3,1011.0,91.0,5.0,0.0,0.0
2024-05-03 14:00:00,4.0,2.0,13.0,2.2,1010.0,89.0,6.0,0.0,0.0
2024-05-03 15:00:00,4.0,2.0,12.0,3.4,1010.0,93.0,8.0,0.0,0.0
2024-05-03 16:00:00,5.0,3.0,12.0,2.0,1011.0,93.0,7.0,0.0,0.0
2024-05-03 17:00:00,6.0,3.0,12.0,1.3,1011.0,95.0,5.0,0.0,0.0
2024-05-03 18:00:00,5.0,2.0,12.0,1.5,1012.0,98.0,4.0,0.0,0.0
2024-05-03 19:00:00,5.0,2.0,12.0,1.4,1012.0,95.0,5.0,0.0,0.0
2024-05-03 20:00:00,5.0,3.0,12.0,1.2,1013.0,96.0,8.0,0.0,0.0
2024-05-03 21:00:00,6.0,4.0,12.0,0.2,1013.0,99.0,3.0,0.0,0.0
2024-05-03 22:00:00,11.0,8.0,12.0,0.0,1013.0,99.0,4.0,0.0,0.0
2024-05-03 23:00:00,10.0,8.0,12.0,0.0,1014.0,99.0,1.0,0.0,0.0
2024-05-04 00:00:00,10.0,8.0,12.0,0.0,1014.0,99.0,3.0,0.0,0.0
2024-05-04 01:00:00,10.0,7.0,11.0,0.0,1014.0,100.0,4.0,0.0,0.0
2024-05-04 02:00:00,15.73824096674063,11.79830598356829,12.0,0.1,1014.0,96.0,2.0,0.0,0.0
2024-05-04 03:00:00,18.0,15.0,11.0,0.0,1014.0,96.0,3.0,0.0,0.0
2024-05-04 04:00:00,10.0,7.0,11.0,0.0,1014.0,96.0,2.0,0.0,0.0
2024-05-04 05:00:00,8.0,5.0,12.0,0.0,1015.0,96.0,2.0,0.0,0.0
2024-05-04 06:00:00,9.0,5.0,12.0,0.0,1016.0,94.0,2.0,0.0,0.0
2024-05-04 07:00:00,8.0,5.0,14.0,0.0,1016.0,89.0,2.0,0.0,0.0
2024-05-04 08:00:00,9.0,4.0,15.0,0.0,1016.0,84.0,3.0,0.0,0.0
2024-05-04 09:00:00,7.0,3.0,18.0,0.0,1016.0,65.0,3.0,0.0,0.0
2024-05-04 10:00:00,5.0,2.0,20.0,0.0,1016.0,60.0,1.0,0.0,0.0
2024-05-04 11:00:00,5.0,3.0,20.0,0.0,1016.0,56.0,4.0,0.0,0.0
2024-05-04 12:00:00,6.0,3.0,20.0,0.0,1016.0,57.0,6.0,0.0,0.0
2024-05-04 13:00:00,6.0,3.0,21.0,0.0,1016.0,55.0,3.0,0.0,0.0
2024-05-04 14:00:00,7.0,4.0,21.0,0.0,1015.0,55.0,3.0,0.0,0.0
2024-05-04 15:00:00,9.0,4.0,23.0,0.0,1015.0,46.0,2.0,0.0,0.0
2024-05-04 16:00:00,9.0,5.0,23.0,0.0,1015.0,45.0,4.0,0.0,0.0
2024-05-04 17:00:00,8.0,5.0,21.0,0.0,1014.0,58.0,6.0,0.0,0.0
2024-05-04 18:00:00,11.0,5.0,19.0,0.0,1015.0,61.0,5.0,0.0,0.0
2024-05-04 19:00:00,10.0,5.0,17.0,0.0,1015.0,61.0,4.0,0.0,0.0
2024-05-04 20:00:00,11.0,6.0,16.0,0.0,1015.0,62.0,4.0,0.0,0.0
2024-05-04 21:00:00,12.0,8.0,14.0,0.0,1016.0,80.0,1.0,0.0,0.0
2024-05-04 22:00:00,14.0,8.0,13.0,0.0,1016.0,81.0,1.0,0.0,0.0
2024-05-04 23:00:00,19.0,12.0,12.0,0.0,1015.0,89.0,5.0,0.0,0.0
2024-05-05 00:00:00,18.0,11.0,11.0,0.0,1015.0,88.0,4.0,0.0,0.0
2024-05-05 01:00:00,17.0,11.0,11.0,0.0,1015.0,87.0,4.0,0.0,0.0
2024-05-05 02:00:00,16.509379286163497,13.103760200196149,10.0,0.0,1015.0,88.0,3.0,0.0,0.0
2024-05-05 03:00:00,13.0,7.0,9.0,0.0,1015.0,88.0,3.0,0.0,0.0
2024-05-05 04:00:00,13.0,7.0,9.0,0.0,1015.0,87.0,5.0,0.0,0.0
2024-05-05 05:00:00,13.0,7.0,9.0,0.0,1015.0,88.0,4.0,0.0,0.0
2024-05-05 06:00:00,13.0,6.0,12.0,0.0,1015.0,78.0,2.0,0.0,0.0
2024-05-05 07:00:00,12.0,6.0,14.0,0.0,1015.0,80.0,4.0,0.0,0.0
2024-05-05 08:00:00,11.0,6.0,16.0,0.0,1015.0,77.0,4.0,0.0,0.0
2024-05-05 09:00:00,10.0,6.0,20.0,0.0,1015.0,60.0,3.0,0.0,0.0
2024-05-05 10:00:00,10.0,6.0,21.0,0.0,1015.0,56.0,2.0,0.0,0.0
2024-05-05 11:00:00,9.0,5.0,22.0,0.0,1014.0,48.0,8.0,0.0,0.0
2024-05-05 12:00:00,7.0,4.0,22.0,0.0,1014.0,48.0,9.0,0.0,0.0
2024-05-05 13:00:00,7.0,4.0,22.0,0.0,1014.0,47.0,8.0,0.0,0.0
2024-05-05 14:00:00,6.0,4.0,22.0,0.0,1013.0,47.0,8.0,0.0,0.0
2024-05-05 15:00:00,6.0,4.0,22.0,0.0,1013.0,52.0,12.0,0.0,0.0
2024-05-05 16:00:00,13.0,8.0,21.0,0.0,1013.0,52.0,12.0,0.0,0.0
2024-05-05 17:00:00,7.0,4.0,20.0,0.0,1013.0,53.0,13.0,0.0,0.0
2024-05-05 18:00:00,7.0,4.0,18.0,0.0,1013.0,55.0,8.0,0.0,0.0
2024-05-05 19:00:00,8.0,5.0,16.0,0.0,1014.0,61.0,7.0,0.0,0.0
2024-05-05 20:00:00,8.0,6.0,15.0,0.0,1014.0,70.0,1.0,0.0,0.0
2024-05-05 21:00:00,9.0,7.0,14.0,0.0,1014.0,73.0,2.0,0.0,0.0
2024-05-05 22:00:00,12.0,10.0,13.0,0.0,1014.0,76.0,3.0,0.0,0.0
2024-05-05 23:00:00,13.0,10.0,12.0,0.0,1014.0,80.0,6.0,0.0,0.0
2024-05-06 00:00:00,10.0,7.0,11.0,0.0,1013.0,83.0,7.0,0.0,0.0
2024-05-06 01:00:00,13.0,9.0,10.0,0.0,1013.0,84.0,6.0,0.0,0.0
2024-05-06 02:00:00,15.656814481933235,12.30185757104801,10.0,0.0,1013.0,87.0,4.0,0.0,0.0
2024-05-06 03:00:00,8.0,5.0,9.0,0.0,1013.0,88.0,5.0,0.0,0.0
2024-05-06 04:00:00,7.0,4.0,9.0,0.0,1013.0,98.0,5.0,0.0,0.0
2024-05-06 05:00:00,7.0,4.0,10.0,0.0,1013.0,92.0,4.0,0.0,0.0
2024-05-06 06:00:00,8.0,5.0,12.0,0.0,1013.0,84.0,3.0,0.0,0.0
2024-05-06 07:00:00,8.0,5.0,16.0,0.0,1013.0,73.0,4.0,0.0,0.0
2024-05-06 08:00:00,10.0,6.0,19.0,0.0,1013.0,62.0,5.0,0.0,0.0
2024-05-06 09:00:00,9.0,5.0,22.0,0.0,1012.0,51.0,8.0,0.0,0.0
2024-05-06 10:00:00,7.0,4.0,23.0,0.0,1012.0,48.0,13.0,0.0,0.0
2024-05-06 11:00:00,7.0,4.0,24.0,0.0,1012.0,45.0,13.0,0.0,0.0
2024-05-06 12:00:00,9.0,5.0,24.0,0.0,1011.0,43.0,12.0,0.0,0.0
2024-05-06 13:00:00,9.0,5.0,23.0,0.0,1011.0,45.0,19.0,0.0,0.0
2024-05-06 14:00:00,11.0,6.0,22.0,0.0,1012.0,43.0,18.0,0.0,0.0
2024-05-06 15:00:00,9.0,5.0,20.0,0.0,1012.0,50.0,21.0,0.0,0.0
2024-05-06 16:00:00,8.0,4.0,20.0,0.0,1012.0,50.0,19.0,0.0,0.0
2024-05-06 17:00:00,8.0,4.0,19.0,0.0,1012.0,50.0,10.0,0.0,0.0
2024-05-06 18:00:00,6.0,4.0,18.0,0.0,1012.0,48.0,12.0,0.0,0.0
2024-05-06 19:00:00,7.0,4.0,18.0,0.0,1012.0,51.0,10.0,0.0,0.0
2024-05-06 20:00:00,7.0,3.0,17.0,0.0,1013.0,55.0,10.0,0.0,0.0
2024-05-06 21:00:00,7.0,3.0,16.0,0.0,1013.0,60.0,8.0,0.0,0.0
2024-05-06 22:00:00,6.0,3.0,16.0,0.0,1013.0,62.0,6.0,0.0,0.0
2024-05-06 23:00:00,6.0,3.0,16.0,0.0,1012.0,57.0,9.0,0.0,0.0
2024-05-07 00:00:00,5.0,3.0,15.0,0.0,1012.0,62.0,5.0,0.0,0.0
2024-05-07 01:00:00,5.0,3.0,15.0,0.0,1012.0,67.0,4.0,0.0,0.0
2024-05-07 02:00:00,14.558231216048949,10.532202058361612,14.0,0.0,1012.0,67.0,6.0,0.0,0.0
2024-05-07 03:00:00,5.0,3.0,13.0,0.0,1012.0,70.0,8.0,0.0,0.0
2024-05-07 04:00:00,6.0,3.0,13.0,0.0,1012.0,74.0,2.0,0.0,0.0
2024-05-07 05:00:00,5.0,3.0,14.0,0.0,1012.0,72.0,2.0,0.0,0.0
2024-05-07 06:00:00,6.0,4.0,14.0,0.0,1013.0,62.0,5.0,0.0,0.0
2024-05-07 07:00:00,7.0,4.0,15.0,0.0,1013.0,69.0,4.0,0.0,0.0
2024-05-07 08:00:00,10.0,6.0,16.0,0.0,1013.0,69.0,3.0,0.0,0.0
2024-05-07 09:00:00,10.0,6.0,18.0,0.3,1013.0,62.0,5.0,0.0,0.0
2024-05-07 10:00:00,9.0,5.0,19.0,0.0,1014.0,63.0,5.0,0.0,0.0
2024-05-07 11:00:00,10.0,6.0,19.0,0.0,1013.0,64.0,3.0,0.0,0.0
2024-05-07 12:00:00,9.0,6.0,19.0,0.0,1013.0,71.0,1.0,0.0,0.0
2024-05-07 13:00:00,7.0,5.0,20.0,0.2,1013.0,71.0,7.0,0.0,0.0
2024-05-07 14:00:00,7.0,5.0,17.0,0.3,1013.0,83.0,3.0,0.0,0.0
2024-05-07 15:00:00,9.0,6.0,18.0,0.4,1013.0,82.0,4.0,0.0,0.0
2024-05-07 16:00:00,6.0,5.0,16.0,0.0,1013.0,86.0,9.0,0.0,0.0
2024-05-07 17:00:00,5.0,4.0,16.0,0.0,1014.0,84.0,2.0,0.0,0.0
2024-05-07 18:00:00,7.0,5.0,16.0,0.0,1014.0,85.0,1.0,0.0,0.0
2024-05-07 19:00:00,10.0,8.0,15.0,0.0,1014.0,91.0,2.0,0.0,0.0
2024-05-07 20:00:00,10.0,8.0,15.0,0.0,1015.0,90.0,3.0,0.0,0.0
2024-05-07 21:00:00,9.0,7.0,14.0,0.0,1015.0,92.0,2.0,0.0,0.0
2024-05-07 22:00:00,15.0,12.0,14.0,1.4,1015.0,94.0,3.0,0.0,0.0
2024-05-07 23:00:00,11.0,8.0,14.0,5.7,1015.0,96.0,5.0,0.0,0.0
2024-05-08 00:00:00,10.0,7.0,14.0,3.5,1015.0,95.0,4.0,0.0,0.0
2024-05-08 01:00:00,10.0,7.0,14.0,3.2,1015.0,94.0,4.0,0.0,0.0
2024-05-08 02:00:00,7.0,5.0,14.0,0.6,1015.0,94.0,3.0,0.0,0.0
2024-05-08 03:00:00,7.0,5.0,14.0,1.1,1016.0,95.0,1.0,0.0,0.0
2024-05-08 04:00:00,7.0,5.0,14.0,3.6,1016.0,95.0,2.0,0.0,0.0
2024-05-08 05:00:00,6.0,4.0,14.0,1.2,1016.0,95.0,1.0,0.0,0.0
2024-05-08 06:00:00,6.0,4.0,14.0,0.1,1016.0,94.0,1.0,0.0,0.0
2024-05-08 07:00:00,5.0,4.0,15.0,0.0,1017.0,94.0,3.0,0.0,0.0
2024-05-08 08:00:00,6.0,3.0,15.0,0.4,1017.0,93.0,2.0,0.0,0.0
2024-05-08 09:00:00,6.0,3.0,17.0,0.0,1017.0,85.0,3.0,0.0,0.0
2024-05-08 10:00:00,6.0,3.0,18.0,0.0,1017.0,82.0,3.0,0.0,0.0
2024-05-08 11:00:00,5.0,3.0,18.0,0.0,1017.0,82.0,12.0,0.0,0.0
2024-05-08 12:00:00,4.0,3.0,18.0,0.0,1017.0,78.0,12.0,0.0,0.0
2024-05-08 13:00:00,5.0,3.0,16.0,0.2,1017.0,82.0,10.0,0.0,0.0
2024-05-08 14:00:00,5.0,4.0,16.0,2.0,1017.0,80.0,10.0,0.0,0.0
2024-05-08 15:00:00,4.0,2.0,16.0,1.5,1018.0,80.0,10.0,0.0,0.0
2024-05-08 16:00:00,3.0,2.0,16.0,0.2,1018.0,82.0,11.0,0.0,0.0
2024-05-08 17:00:00,5.0,3.0,15.0,0.0,1018.0,85.0,10.0,0.0,0.0
2024-05-08 18:00:00,4.0,2.0,15.0,0.1,1019.0,90.0,10.0,0.0,0.0
2024-05-08 19:00:00,4.0,2.0,14.0,0.2,1020.0,91.0,12.0,0.0,0.0
2024-05-08 20:00:00,6.0,4.0,14.0,0.0,1021.0,92.0,11.0,0.0,0.0
2024-05-08 21:00:00,8.0,6.0,14.0,0.0,1021.0,94.0,10.0,0.0,0.0
2024-05-08 22:00:00,10.0,8.0,13.0,0.0,1022.0,92.0,10.0,0.0,0.0
2024-05-08 23:00:00,11.0,8.0,13.0,0.0,1022.0,90.0,9.0,0.0,0.0
2024-05-09 00:00:00,11.0,8.0,12.0,0.0,1022.0,87.0,7.0,0.0,0.0
2024-05-09 01:00:00,16.0,9.0,12.0,0.0,1022.0,87.0,5.0,0.0,0.0
2024-05-09 02:00:00,13.0,9.0,12.0,0.0,1022.0,84.0,5.0,0.0,0.0
2024-05-09 03:00:00,13.0,9.0,12.0,0.0,1022.0,81.0,5.0,0.0,0.0
2024-05-09 04:00:00,16.0,9.0,11.0,0.0,1022.0,80.0,5.0,0.0,0.0
2024-05-09 05:00:00,15.0,9.0,12.0,0.0,1022.0,81.0,5.0,0.0,0.0
2024-05-09 06:00:00,15.0,9.0,12.0,0.0,1023.0,80.0,6.0,0.0,0.0
2024-05-09 07:00:00,15.0,9.0,14.0,0.0,1023.0,75.0,2.0,0.0,0.0
2024-05-09 08:00:00,14.0,9.0,15.0,0.0,1023.0,71.0,3.0,0.0,0.0
2024-05-09 09:00:00,15.0,8.0,16.0,0.0,1023.0,68.0,3.0,0.0,0.0
2024-05-09 10:00:00,15.0,8.0,19.0,0.0,1022.0,55.0,9.0,0.0,0.0
2024-05-09 11:00:00,13.0,6.0,20.0,0.0,1021.0,50.0,12.0,0.0,0.0
2024-05-09 12:00:00,13.0,6.0,20.0,0.0,1021.0,51.0,12.0,0.0,0.0
2024-05-09 13:00:00,11.0,6.0,19.0,0.0,1021.0,51.0,15.0,0.0,0.0
2024-05-09 14:00:00,11.0,5.0,19.0,0.0,1021.0,52.0,15.0,0.0,0.0
